0  20 0 15 0
1  1 0 0 0
2  26 12 35 18
3  24 1 27 8
4  23 15 30 21
5  25 0 24 3
6  27 9 28 12
7  38 20 33 20
8  0 0 1 0
9  0 0 0 0
10  15 0 10 0
11  25 5 28 13
12  9 0 2 0
13  31 0 20 0
14  38 21 28 21
15  25 6 16 4
16  20 0 13 0
17  5 5 22 0
18  20 0 11 0
19  16 6 19 14
20  18 13 32 17
21  13 0 31 4
22  12 0 4 0
23  13 0 11 0
24  23 8 16 10
25  16 2 23 0
26  5 0 8 0
27  17 0 28 8
28  31 22 31 14
29  20 1 19 0
30  2 0 0 0
31  44 47 44 47
32  10 0 17 0
33  38 21 41 18
34  16 0 13 6
35  17 9 15 0
36  33 24 29 28
37  6 1 23 0
38  12 4 19 8
39  32 13 30 24
40  42 25 32 22
41  39 22 36 23
42  39 26 28 25
43  2 0 8 0
44  7 0 1 0
45  43 24 40 36
46  22 16 15 2
47  26 24 27 9
48  18 10 26 5
49  16 8 12 10
50  15 0 19 3
51  21 3 14 10
52  13 0 17 0
53  23 15 19 15
54  12 0 10 13
55  27 24 35 26
56  23 9 29 8
57  16 7 19 7
58  29 14 32 9
59  22 1 24 11
60  38 21 23 18
61  23 11 23 0
62  33 19 30 23
63  30 8 30 8
64  15 0 12 0
65  34 7 23 17
66  24 11 26 13
67  46 31 49 36
68  18 1 13 6
69  33 18 30 27
70  35 20 33 16
71  31 7 30 11
72  36 42 56 32
73  25 2 26 7
74  4 0 0 0
75  16 4 18 7
76  38 24 34 32
77  23 12 23 4
78  20 17 25 5
79  32 8 40 16
80  16 3 26 0
81  28 20 23 16
82  19 5 14 1
83  10 7 7 5
84  11 0 14 0
85  35 23 38 30
86  28 4 29 10
87  16 14 20 5
88  18 9 18 12
89  13 10 24 2
90  22 8 23 9
91  35 35 48 36
92  22 16 22 3
93  20 7 22 2
94  14 4 2 1
95  51 41 53 32
96  21 15 20 18
97  23 7 26 11
98  20 6 28 7
99  10 3 11 0
100  6 0 11 0
101  0 0 0 0
102  17 10 20 16
103  21 10 20 0
104  28 7 32 8
105  21 0 17 0
106  23 4 22 5
107  33 24 43 26
108  11 10 16 0
109  5 2 24 0
110  7 0 14 6
111  4 0 9 0
112  0 0 0 0
113  23 9 32 5
114  8 0 8 0
115  3 0 9 2
116  32 20 40 25
117  29 11 19 12
118  32 18 25 21
119  1 0 1 0
120  29 16 31 15
