0  0 0 0 9
1  25 26 45 63
2  36 38 60 63
3  28 22 33 63
4  39 37 44 63
5  21 33 38 63
6  17 34 37 63
7  47 44 61 63
8  6 18 34 62
9  19 33 37 63
10  42 50 63 63
11  26 41 49 63
12  37 49 63 63
13  28 32 42 63
14  17 38 47 63
15  36 39 51 63
16  31 37 45 63
17  19 19 39 62
18  20 39 54 63
19  34 47 54 63
20  33 32 57 63
21  31 42 63 63
22  14 23 32 63
23  63 63 63 0
24  33 25 57 63
25  63 63 0 0
26  42 53 56 63
27  24 34 48 63
28  39 36 58 63
29  49 37 54 63
30  28 28 51 63
31  32 17 42 63
32  59 40 63 63
33  52 32 49 63
34  62 51 63 63
35  63 41 53 63
36  53 37 63 63
37  63 62 63 63
38  63 58 63 63
39  63 62 63 63
40  63 56 63 63
41  63 48 63 63
42  63 56 63 63
43  39 19 35 63
44  35 12 30 63
45  63 41 61 63
46  48 41 54 63
47  30 30 45 62
48  40 32 45 63
49  28 12 39 54
50  35 32 37 63
51  47 37 47 63
52  21 6 19 48
53  35 14 33 63
54  35 7 32 63
55  52 25 60 63
56  50 36 58 63
57  28 24 42 61
58  18 0 19 47
59  35 22 40 63
60  0 0 2 38
61  28 14 32 53
62  54 33 63 63
63  11 1 19 49
64  3 15 46 57
65  3 20 43 47
66  57 63 63 63
67  31 39 63 63
68  32 49 63 63
69  20 51 63 63
70  23 32 63 63
71  13 31 63 59
72  9 34 54 63
73  20 26 46 59
74  36 37 63 63
75  20 38 63 63
76  32 56 63 63
77  32 41 63 63
78  19 44 63 63
79  15 32 63 63
80  2 21 50 46
81  48 49 63 63
82  30 34 63 63
83  4 26 63 63
84  29 35 63 63
85  33 42 63 63
86  27 33 63 63
87  5 23 63 63
88  47 59 63 63
89  33 41 63 63
90  31 45 63 63
91  0 24 45 45
92  43 48 63 63
93  9 31 47 63
94  23 39 63 63
95  27 41 62 63
96  23 0 29 45
97  14 0 11 50
98  37 18 44 58
99  48 24 46 63
100  34 6 32 58
101  36 14 30 54
102  63 33 51 63
103  24 0 22 42
104  33 17 42 55
105  36 18 48 63
106  40 19 43 57
107  14 0 16 46
108  5 0 15 37
109  24 10 32 57
110  52 22 52 63
111  30 7 29 59
112  10 8 26 50
113  57 16 52 63
114  11 10 0 46
115  30 29 54 63
116  1 0 16 43
117  25 5 22 53
118  33 11 30 63
119  32 3 31 63
120  21 0 34 43
121  35 16 37 60
122  18 7 24 45
123  45 23 46 63
124  7 0 4 34
125  21 0 20 58
126  40 34 52 63
127  10 0 23 56
128  35 28 43 51
129  24 19 35 20
130  35 14 46 20
131  17 13 33 19
132  9 9 26 25
133  37 19 46 23
134  48 30 45 43
135  13 0 18 10
136  33 24 47 38
137  33 29 49 31
138  23 23 32 21
139  40 25 50 33
140  24 17 33 19
141  16 0 21 13
142  36 10 39 32
143  61 49 63 56
144  32 26 39 30
145  18 12 29 14
146  19 19 38 14
147  18 9 42 17
148  8 0 14 1
149  46 33 47 41
150  0 0 3 3
151  15 9 20 9
152  40 32 49 34
153  21 17 47 28
154  20 14 31 17
155  9 0 23 4
156  19 19 39 13
157  31 23 45 32
158  0 0 11 0
159  55 42 57 46
160  26 9 31 19
161  16 9 23 15
162  42 20 38 18
163  25 4 16 7
164  11 0 0 0
165  41 35 47 31
166  17 0 18 13
167  26 4 8 0
168  18 10 15 3
169  38 32 38 23
170  48 26 37 29
171  49 18 36 18
172  30 12 40 20
173  47 28 43 28
174  45 26 48 40
175  40 36 37 19
176  42 23 48 34
177  50 37 45 40
178  62 46 57 47
179  60 40 62 51
180  49 25 34 22
181  44 19 23 14
