33  4561.55 1.67001 8.01338 -66.1255  4562.12 1.66528 7.84232 415.424  4559.89 1.66655 8.03246 -65.4562  4560.69 1.66495 7.9075 413.967  
34  4568.35 1.69403 7.57499 -80.7283  4573.81 1.7013 7.28739 411.434  4573.04 1.70556 7.54637 -86.2351  4572 1.69409 7.3448 418.371  
35  4565.32 1.67231 7.71089 -69.5874  4564.86 1.66545 7.57209 415.9  4559.46 1.66048 7.76033 -66.1019  4567.85 1.67413 7.58327 404.326  
36  4560.87 1.66802 7.85132 -66.8711  4564.22 1.66949 7.64125 412.395  4567.94 1.68305 7.81828 -74.153  4570.8 1.68167 7.61385 413.874  
37  4568.6 1.68968 7.71406 -77.6701  4572.42 1.69138 7.47868 413.441  4568.99 1.69121 7.72886 -78.735  4572.86 1.69449 7.5116 412.383  
38  4563.78 1.6737 7.53058 -72.9766  4571.51 1.68381 7.28366 405.801  4566.55 1.67947 7.53383 -75.8135  4564.62 1.66818 7.39207 417.013  
39  4570.53 1.68311 7.5592 -75.1474  4574.86 1.68313 7.29473 412.564  4569.04 1.6807 7.56151 -75.4386  4574.96 1.68488 7.32541 409.031  
40  4569.33 1.68609 7.21143 -77.5186  4576.51 1.69335 6.95235 406.288  4567.2 1.68194 7.23715 -76.4221  4578.4 1.70064 6.95913 400.356  
41  4575.24 1.71188 7.47606 -86.9783  4573.06 1.69372 7.26264 422.089  4572.62 1.70425 7.51214 -86.3215  4577.16 1.70659 7.26085 413.522  
42  4554.11 1.63897 8.40752 -55.9938  4558.12 1.64336 8.11763 409.914  4552.36 1.63519 8.39699 -55.8186  4553.88 1.63459 8.24964 413.09  
43  4559.7 1.65641 7.83918 -63.2499  4560.1 1.65163 7.68887 414.856  4557.34 1.65124 7.87844 -61.8193  4561.89 1.65781 7.70287 409.357  
44  4555.41 1.64213 8.35414 -57.21  4554.79 1.634 8.14908 416.686  4552.5 1.63539 8.38328 -56.2824  4556.1 1.6415 8.22339 409.964  
45  4563.88 1.6748 7.95909 -68.0794  4562.86 1.66394 7.77484 417.915  4560.08 1.66659 7.98375 -65.4839  4563 1.66961 7.83963 412.031  
46  4564.7 1.6845 7.83293 -74.2828  4571.15 1.69525 7.57231 411.283  4567.32 1.68993 7.85648 -77.4171  4572.48 1.6977 7.60574 412.705  
47  4568.33 1.68128 7.16591 -74.089  4579.11 1.69864 6.89438 401.375  4574.65 1.6968 7.16206 -81.1056  4574.76 1.68671 6.95489 412.973  
48  4566.49 1.68601 7.59027 -76.5653  4573.4 1.69472 7.30884 410.312  4568.18 1.69044 7.58549 -79.11  4571.46 1.69157 7.37004 412.972  
49  4573.09 1.70513 7.32153 -86.4755  4577.44 1.70686 7.0922 414.257  4575.52 1.71683 7.36088 -88.2268  4576.38 1.70318 7.12488 420.445  
50  4574.92 1.70935 6.81299 -85.7318  4584.61 1.724 6.65395 403.765  4574.69 1.71078 6.84282 -85.6517  4583.68 1.72047 6.64666 403.797  
51  4577.48 1.7385 6.92517 -92.305  4590.26 1.74643 6.74315 412.404  4576.33 1.73806 6.97122 -91.6732  4590.5 1.74466 6.72055 410.835  
52  4571.8 1.7203 7.75459 -84.8394  4578.81 1.72189 7.48276 418.115  4570.59 1.71684 7.78114 -84.7238  4576.18 1.71754 7.51943 417.634  
53  4574.94 1.71651 7.36809 -89.4086  4578.21 1.71114 7.14684 418.277  4573.33 1.71324 7.42004 -89.0897  4581.3 1.7211 7.16708 412.391  
54  4574.89 1.70861 7.30669 -88.5729  4574.73 1.69602 7.102 418.499  4572.76 1.70521 7.35125 -87.0131  4578.57 1.7074 7.10912 412.493  
55  4573.98 1.73326 7.61631 -87.2471  4579.35 1.72386 7.30551 424.058  4575.22 1.74145 7.63985 -86.8179  4579.66 1.72552 7.31084 428.059  
56  4574.39 1.72898 7.39193 -88.8887  4583.15 1.73453 7.15023 418.329  4576.38 1.73651 7.42432 -89.5468  4582.66 1.73359 7.15201 422.092  
57  4571.91 1.71108 7.47837 -86.5983  4582.21 1.72587 7.23395 411.034  4574.25 1.72613 7.57104 -87.5715  4578.46 1.71713 7.28407 421.064  
58  4580.44 1.72416 6.93407 -91.3886  4585.03 1.71656 6.742 415.406  4579.99 1.72383 6.96665 -91.3607  4587.78 1.72574 6.74565 411.607  
59  4570.04 1.6977 7.53656 -81.8229  4574.81 1.70325 7.26825 412.941  4571.55 1.70308 7.54535 -84.8113  4576.55 1.70728 7.30152 412.616  
60  4566.18 1.69158 7.67475 -79.4287  4571.67 1.70205 7.44422 411.177  4568.68 1.69684 7.67812 -82.5936  4573.35 1.70604 7.45448 411.611  
61  4573.3 1.71064 7.57063 -86.8973  4578.56 1.71539 7.34577 416.32  4573.78 1.71462 7.60406 -88.2681  4575.56 1.70852 7.38204 419.536  
62  4574.76 1.71515 7.48731 -88.7017  4578.83 1.71375 7.26564 418.45  4575.75 1.72592 7.57464 -88.6209  4581.72 1.72097 7.26909 420.501  
63  4566.4 1.68388 7.51192 -75.871  4572.83 1.69219 7.21167 408.369  4569.96 1.69149 7.49827 -80.4817  4573.95 1.6941 7.24406 410.225  
64  4569.46 1.69488 7.79254 -78.8454  4570.41 1.68933 7.62913 417.484  4569.55 1.69151 7.75475 -78.9637  4574.64 1.70089 7.6123 412.553  
65  4573.48 1.69988 7.5298 -84.0994  4576.52 1.70102 7.32541 415.802  4572.08 1.69482 7.50285 -82.9859  4574.37 1.69535 7.35379 415.057  
66  4576.24 1.751 7.25572 -95.0172  4581.24 1.74815 7.11575 431.657  4575.48 1.74836 7.26308 -95.0471  4583.58 1.75603 7.15818 426.924  
67  4575.69 1.73086 7.23841 -89.7067  4582.06 1.72501 7.02988 418.571  4578.64 1.74104 7.21718 -91.1008  4582.9 1.72948 7.04499 423.328  
68  4579.07 1.73694 6.93057 -92.6153  4586.78 1.73912 6.80656 415.165  4575.53 1.72539 6.94716 -91.7136  4587.92 1.74251 6.80552 407.574  
69  4572.94 1.71337 7.50309 -87.6587  4581.99 1.73078 7.36178 411.73  4574.04 1.71417 7.48344 -88.7355  4577.7 1.71464 7.34599 416.159  
70  4577.37 1.71924 7.30303 -88.0894  4581.38 1.71395 7.07849 418.03  4578.47 1.71691 7.25448 -89.8837  4582.77 1.72033 7.13804 415.639  
71  4571.81 1.69825 7.39832 -83.6073  4576.26 1.70186 7.19075 412.248  4578.33 1.71327 7.35765 -89.6495  4576.52 1.69838 7.20799 421.337  
72  4574.05 1.70389 7.44825 -86.3714  4580.97 1.71595 7.27324 412.743  4575.71 1.70441 7.41345 -88.1929  4581.21 1.71666 7.27998 413.24  
73  4573.85 1.73291 7.61464 -87.7569  4579.11 1.72549 7.35824 423.32  4570.99 1.7135 7.52543 -87.3787  4577.99 1.72608 7.37422 414.405  
74  4574.87 1.72282 7.48862 -89.4771  4576.43 1.70997 7.26984 422.457  4576.13 1.72596 7.47429 -90.3365  4577.5 1.71112 7.26998 423.608  
75  4570.52 1.69876 7.69402 -82.1296  4573.98 1.70389 7.54053 413.696  4571.69 1.69834 7.67648 -82.9726  4572.74 1.69904 7.53986 416.385  
